"Format","AiM CSV File"
"Session","New Hamp NH"
"Vehicle","UT23"
"Racer","Kelvin"
"Championship","NH Accel"
"Comment","Run 2"
"Date","Wednesday, May 3, 2023"
"Time","11:02 AM"
"Sample Rate","20"
"Duration","223"
"Segment","Session"
"Beacon Markers","223"
"Segment Times","3:43.000"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","Logger Temperature","External Voltage","RPM","InlineAcc","LateralAcc","VerticalAcc","RollRate dup 1","PitchRate","YawRate dup 1","ProcessedThrottl","RawThrottle1","RawThrottle2","RawBrake","FRDamperPot","RRBrakeTemp","RRDamperPot","FLSpeed","RLSpeed","PitotTube","FWStrainGageLeft","FLBrakeTemp","FLDamperPot","RLBrakeTemp","RLDamperPot","LvBatt1Voltage","LvBatt2Voltage","RC STATE","RC ERROR","ACM STATE","ACM ERROR","CockpitIndicator","FC STATE","FC ERROR","PEDAL ERROR","ModuleATemp","GateDriverTemp","ModuleBTemp","ModuleCTemp","ControlTemp","RTD1Temp","RTD2Temp","RTD3Temp","CoolantTemp","HotSpotTemp","MotorTemp","TorqueShudder","MotorAngle","MotorSpeed1","ElectricFreq","DeltaRes","PhaseA Current","PhaseB Current","PhaseC Current","DcBusCurrent","DcBusVoltageInfo","OutputVoltage","VabVdVoltage","VbcVqVoltage","FluxCommanded","FluxFeedback","IdFeedback","IqFeedback","TorqueCommanded","TorqueFeedback","MotorSpeed2","DcBusVoltage","DischargeLimitFault","HighestCellVoltTooHighFault","ChargerSafetyRelayFault","InternalHardwareFault","LowCellVoltageFault","InternalHeatsinkFault","InternalSoftwareFault","PackTooHotFault","LowestCellVoltTooLowFault","InternalCommsFault","CellBalancingStuckOffFault","WeakCellFault","OpenWiringFault","CurrentSensorFault","HighestCellVoltOver5vFault","CellAsicFault","WeakPackFault","FanMonitorFault","ThermistorFault","ExternalCommsFault","RedundantPowerSupplyFault","ChargeLimitFault","HighVoltageIsolationFault","InputPowerSupplyFault","YawRate dup 2","AccY","RollRate dup 2","RESERVED 01","AccX","RESERVED 02","AccZ","PackCurrent","PackVoltage","PackSOC","CurrentLimitStatus","PackDCL","PackCCL","HighCellVoltage","HighCellID","LowCellVoltage","LowCellID","AvgCellVoltage","MaxCellVoltage","PackCCL 01","MaxPackVoltage","PackCCL 02","MaxCellVoltag 01","PackCCL 03","RelativeThermID","ThermVal","ThermsEnabled","LoThermVal","HiThermVal","LoThermID","HiThermID"
"s","km/h"," ","g","g","deg","deg","deg/s","m","m","m/s","m","deg","deg","°C","V","rpm","g","g","g","deg/s","deg/s","deg/s","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#"

"0.000","2.5770","13","0.0000","0.0000","-22.3694","-32.2387","0.0000","120.1840","0.2000","0.2500","10000.0000","43.36444216","-71.46103073","159.6","0.7","0","0.17","0.06","-1.13","-0.6","0.9","0.3","0","0","0","0","0","0","0","0","0","0","0","990","21","1016","11","15","15","0","0","0","0","0","0","0","0","18","15","18","18","0","0","0","0","-1000","-1000","29","0","43","-1","-0","-48","-0","0","0","0","2","0","-0","1","0","29","-0","0","0","-0","-1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","164","-4","-328","7","-8","0","-7","0","509","82","2","137","4","-2","-111","-2","65","-2","0","0","0","0","0","0","7424","38","29","20","25","18","10"
"0.050","2.5770","13","0.0000","0.0000","-22.3694","-32.2387","0.0000","120.1840","0.2000","0.2500","10000.0000","43.36444216","-71.46103073","159.6","0.7","0","0.17","0.06","-1.13","-0.6","0.9","0.3","0","0","0","0","0","0","0","0","0","0","0","990","21","1016","11","15","15","0","0","0","0","0","0","0","0","18","15","18","18","0","0","0","0","-1000","-1000","29","0","43","-1","-0","-48","-0","0","0","0","2","0","-0","1","0","29","-0","0","0","-0","-1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","164","-4","-328","7","-8","0","-7","0","509","82","2","137","4","-2","-111","-2","65","-2","0","0","0","0","0","0","7424","38","29","20","25","18","10"
"0.100","2.5770","13","0.0000","0.0000","-22.3694","-32.2387","0.0000","120.1840","0.2000","0.2500","10000.0000","43.36444216","-71.46103073","159.6","0.7","0","0.17","0.06","-1.13","-0.6","0.9","0.3","0","0","0","0","0","0","0","0","0","0","0","990","21","1016","11","15","15","0","0","0","0","0","0","0","0","18","15","18","18","0","0","0","0","-1000","-1000","29","0","43","-1","-0","-48","-0","0","0","0","2","0","-0","1","0","29","-0","0","0","-0","-1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","164","-4","-328","7","-8","0","-7","0","509","82","2","137","4","-2","-111","-2","65","-2","0","0","0","0","0","0","7424","38","29","20","25","18","10"
"0.150","2.5770","13","0.0000","0.0000","-22.3694","-32.2387","0.0000","120.1840","0.2000","0.2500","10000.0000","43.36444216","-71.46103073","159.6","0.7","0","0.17","0.06","-1.13","-0.6","0.9","0.3","0","0","0","0","0","0","0","0","0","0","0","990","21","1016","11","15","15","0","0","0","0","0","0","0","0","18","15","18","18","0","0","0","0","-1000","-1000","29","0","43","-1","-0","-48","-0","0","0","0","2","0","-0","1","0","29","-0","0","0","-0","-1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","164","-4","-328","7","-8","0","-7","0","509","82","2","137","4","-2","-111","-2","65","-2","0","0","0","0","0","0","7424","38","29","20","25","18","10"
"0.200","2.5770","13","0.0000","0.0000","-22.3694","-32.2387","0.0000","120.1840","0.2000","0.2500","10000.0000","43.36444216","-71.46103073","159.6","0.7","0","0.17","0.06","-1.13","-0.6","0.9","0.3","0","0","0","0","0","0","0","0","0","0","0","990","21","1016","11","15","15","0","0","0","0","0","0","0","0","18","15","18","18","0","0","0","0","-1000","-1000","29","0","43","-1","-0","-48","-0","0","0","0","2","0","-0","1","0","29","-0","0","0","-0","-1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","164","-4","-328","7","-8","0","-7","0","509","82","2","137","4","-2","-111","-2","65","-2","0","0","0","0","0","0","7424","38","29","20","25","18","10"
"0.250","2.5770","13","0.0000","0.0000","-22.3694","-32.2387","0.0000","120.1840","0.2000","0.2500","10000.0000","43.36444216","-71.46103073","159.6","0.7","0","0.17","0.06","-1.13","-0.6","0.9","0.3","0","0","0","0","0","0","0","0","0","0","0","990","21","1016","11","15","15","0","0","0","0","0","0","0","0","18","15","18","18","0","0","0","0","-1000","-1000","29","0","43","-1","-0","-48","-0","0","0","0","2","0","-0","1","0","29","-0","0","0","-0","-1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","164","-4","-328","7","-8","0","-7","0","509","82","2","137","4","-2","-111","-2","65","-2","0","0","0","0","0","0","7424","38","29","20","25","18","10"
"0.300","2.5770","13","0.0000","0.0000","-22.3694","-32.2387","0.0000","120.1840","0.2000","0.2500","10000.0000","43.36444216","-71.46103073","159.6","0.7","0","0.17","0.06","-1.13","-0.6","0.9","0.3","0","0","0","0","0","0","0","0","0","0","0","990","21","1016","11","15","15","0","0","0","0","0","0","0","0","18","15","18","18","0","0","0","0","-1000","-1000","29","0","43","-1","-0","-48","-0","0","0","0","2","0","-0","1","0","29","-0","0","0","-0","-1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","164","-4","-328","7","-8","0","-7","0","509","82","2","137","4","-2","-111","-2","65","-2","0","0","0","0","0","0","7424","38","29","20","25","18","10"
"0.350","2.5770","13","0.0000","0.0000","-22.3694","-32.2387","0.0000","120.1840","0.2000","0.2500","10000.0000","43.36444216","-71.46103073","159.6","0.7","0","0.17","0.06","-1.13","-0.6","0.9","0.3","0","0","0","0","0","0","0","0","0","0","0","990","21","1016","11","15","15","0","0","0","0","0","0","0","0","18","15","18","18","0","0","0","0","-1000","-1000","29","0","43","-1","-0","-48","-0","0","0","0","2","0","-0","1","0","29","-0","0","0","-0","-1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","164","-4","-328","7","-8","0","-7","0","509","82","2","137","4","-2","-111","-2","65","-2","0","0","0","0","0","0","7424","38","29","20","25","18","10"
"0.400","2.5770","13","0.0000","0.0000","-22.3694","-32.2387","0.0000","120.1840","0.2000","0.2500","10000.0000","43.36444216","-71.46103073","159.6","0.7","0","0.17","0.06","-1.13","-0.6","0.9","0.3","0","0","0","0","0","0","0","0","0","0","0","990","21","1016","11","15","15","0","0","0","0","0","0","0","0","18","15","18","18","0","0","0","0","-1000","-1000","29","0","43","-1","-0","-48","-0","0","0","0","2","0","-0","1","0","29","-0","0","0","-0","-1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","164","-4","-328","7","-8","0","-7","0","509","82","2","137","4","-2","-111","-2","65","-2","0","0","0","0","0","0","7424","38","29","20","25","18","10"
"0.450","2.5770","13","0.0000","0.0000","-22.3694","-32.2387","0.0000","120.1840","0.2000","0.2500","10000.0000","43.36444216","-71.46103073","159.6","0.7","0","0.17","0.06","-1.13","-0.6","0.9","0.3","0","0","0","0","0","0","0","0","0","0","0","990","21","1016","11","15","15","0","0","0","0","0","0","0","0","18","15","18","18","0","0","0","0","-1000","-1000","29","0","43","-1","-0","-48","-0","0","0","0","2","0","-0","1","0","29","-0","0","0","-0","-1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","164","-4","-328","7","-8","0","-7","0","509","82","2","137","4","-2","-111","-2","65","-2","0","0","0","0","0","0","7424","38","29","20","25","18","10"
"0.500","2.5770","13","0.0000","0.0000","-22.3694","-32.2387","0.0000","120.1840","0.2000","0.2500","10000.0000","43.36444216","-71.46103073","159.6","0.7","0","0.17","0.06","-1.13","-0.6","0.9","0.3","0","0","0","0","0","0","0","0","0","0","0","990","21","1016","11","15","15","0","0","0","0","0","0","0","0","18","15","18","18","0","0","0","0","-1000","-1000","29","0","43","-1","-0","-48","-0","0","0","0","2","0","-0","1","0","29","-0","0","0","-0","-1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","164","-4","-328","7","-8","0","-7","0","509","82","2","137","4","-2","-111","-2","65","-2","0","0","0","0","0","0","7424","38","29","20","25","18","10"
"0.550","2.5770","13","0.0000","0.0000","-22.3694","-32.2387","0.0000","120.1840","0.2000","0.2500","10000.0000","43.36444216","-71.46103073","159.6","0.7","0","0.17","0.06","-1.13","-0.6","0.9","0.3","0","0","0","0","0","0","0","0","0","0","0","990","21","1016","11","15","15","0","0","0","0","0","0","0","0","18","15","18","18","0","0","0","0","-1000","-1000","29","0","43","-1","-0","-48","-0","0","0","0","2","0","-0","1","0","29","-0","0","0","-0","-1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","164","-4","-328","7","-8","0","-7","0","509","82","2","137","4","-2","-111","-2","65","-2","0","0","0","0","0","0","7424","38","29","20","25","18","10"
"0.600","2.5770","13","0.0000","0.0000","-22.3694","-32.2387","0.0000","120.1840","0.2000","0.2500","10000.0000","43.36444216","-71.46103073","159.6","0.7","0","0.17","0.06","-1.13","-0.6","0.9","0.3","0","0","0","0","0","0","0","0","0","0","0","990","21","1016","11","15","15","0","0","0","0","0","0","0","0","18","15","18","18","0","0","0","0","-1000","-1000","29","0","43","-1","-0","-48","-0","0","0","0","2","0","-0","1","0","29","-0","0","0","-0","-1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","164","-4","-328","7","-8","0","-7","0","509","82","2","137","4","-2","-111","-2","65","-2","0","0","0","0","0","0","7424","38","29","20","25","18","10"
"0.650","2.5770","13","0.0000","0.0000","-22.3694","-32.2387","0.0000","120.1840","0.2000","0.2500","10000.0000","43.36444216","-71.46103073","159.6","0.7","0","0.17","0.06","-1.13","-0.6","0.9","0.3","0","0","0","0","0","0","0","0","0","0","0","990","21","1016","11","15","15","0","0","0","0","0","0","0","0","18","15","18","18","0","0","0","0","-1000","-1000","29","0","43","-1","-0","-48","-0","0","0","0","2","0","-0","1","0","29","-0","0","0","-0","-1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","164","-4","-328","7","-8","0","-7","0","509","82","2","137","4","-2","-111","-2","65","-2","0","0","0","0","0","0","7424","38","29","20","25","18","10"
"0.700","2.5770","13","0.0000","0.0000","-22.3694","-32.2387","0.0000","120.1840","0.2000","0.2500","10000.0000","43.36444216","-71.46103073","159.6","0.7","0","0.17","0.06","-1.13","-0.6","0.9","0.3","0","0","0","0","0","0","0","0","0","0","0","990","21","1016","11","15","15","0","0","0","0","0","0","0","0","18","15","18","18","0","0","0","0","-1000","-1000","29","0","43","-1","-0","-48","-0","0","0","0","2","0","-0","1","0","29","-0","0","0","-0","-1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","164","-4","-328","7","-8","0","-7","0","509","82","2","137","4","-2","-111","-2","65","-2","0","0","0","0","0","0","7424","38","29","20","25","18","10"
"0.750","2.5770","13","0.0000","0.0000","-22.3694","-32.2387","0.0000","120.1840","0.2000","0.2500","10000.0000","43.36444216","-71.46103073","159.6","0.7","0","0.17","0.06","-1.13","-0.6","0.9","0.3","0","0","0","0","0","0","0","0","0","0","0","990","21","1016","11","15","15","0","0","0","0","0","0","0","0","18","15","18","18","0","0","0","0","-1000","-1000","29","0","43","-1","-0","-48","-0","0","0","0","2","0","-0","1","0","29","-0","0","0","-0","-1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","164","-4","-328","7","-8","0","-7","0","509","82","2","137","4","-2","-111","-2","65","-2","0","0","0","0","0","0","7424","38","29","20","25","18","10"
"0.800","2.5770","13","0.0000","0.0000","-22.3694","-32.2387","0.0000","120.1840","0.2000","0.2500","10000.0000","43.36444216","-71.46103073","159.6","0.7","0","0.17","0.06","-1.13","-0.6","0.9","0.3","0","0","0","0","0","0","0","0","0","0","0","990","21","1016","11","15","15","0","0","0","0","0","0","0","0","18","15","18","18","0","0","0","0","-1000","-1000","29","0","43","-1","-0","-48","-0","0","0","0","2","0","-0","1","0","29","-0","0","0","-0","-1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","164","-4","-328","7","-8","0","-7","0","509","82","2","137","4","-2","-111","-2","65","-2","0","0","0","0","0","0","7424","38","29","20","25","18","10"
"0.850","2.5770","13","0.0000","0.0000","-22.3694","-32.2387","0.0000","120.1840","0.2000","0.2500","10000.0000","43.36444216","-71.46103073","159.6","0.7","0","0.17","0.06","-1.13","-0.6","0.9","0.3","0","0","0","0","0","0","0","0","0","0","0","990","21","1016","11","15","15","0","0","0","0","0","0","0","0","18","15","18","18","0","0","0","0","-1000","-1000","29","0","43","-1","-0","-48","-0","0","0","0","2","0","-0","1","0","29","-0","0","0","-0","-1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","164","-4","-328","7","-8","0","-7","0","509","82","2","137","4","-2","-111","-2","65","-2","0","0","0","0","0","0","7424","38","29","20","25","18","10"
"0.900","2.5770","13","0.0000","0.0000","-22.3694","-32.2387","0.0000","120.1840","0.2000","0.2500","10000.0000","43.36444216","-71.46103073","159.6","0.7","0","0.17","0.06","-1.13","-0.6","0.9","0.3","0","0","0","0","0","0","0","0","0","0","0","990","21","1016","11","15","15","0","0","0","0","0","0","0","0","18","15","18","18","0","0","0","0","-1000","-1000","29","0","43","-1","-0","-48","-0","0","0","0","2","0","-0","1","0","29","-0","0","0","-0","-1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","164","-4","-328","7","-8","0","-7","0","509","82","2","137","4","-2","-111","-2","65","-2","0","0","0","0","0","0","7424","38","29","20","25","18","10"
"0.950","2.5770","13","0.0000","0.0000","-22.3694","-32.2387","0.0000","120.1840","0.2000","0.2500","10000.0000","43.36444216","-71.46103073","159.6","0.7","0","0.17","0.06","-1.13","-0.6","0.9","0.3","0","0","0","0","0","0","0","0","0","0","0","990","21","1016","11","15","15","0","0","0","0","0","0","0","0","18","15","18","18","0","0","0","0","-1000","-1000","29","0","43","-1","-0","-48","-0","0","0","0","2","0","-0","1","0","29","-0","0","0","-0","-1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","164","-4","-328","7","-8","0","-7","0","509","82","2","137","4","-2","-111","-2","65","-2","0","0","0","0","0","0","7424","38","29","20","25","18","10"
"1.000","2.5770","13","0.0000","0.0000","-22.3694","-32.2387","0.0000","120.1840","0.2000","0.2500","10000.0000","43.36444216","-71.46103073","159.6","0.7","0","0.17","0.06","-1.13","-0.6","0.9","0.3","0","0","0","0","0","0","0","0","0","0","0","990","21","1016","11","15","15","0","0","0","0","0","0","0","0","18","15","18","18","0","0","0","0","-1000","-1000","29","0","43","-1","-0","-48","-0","0","0","0","2","0","-0","1","0","29","-0","0","0","-0","-1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","164","-4","-328","7","-8","0","-7","0","509","82","2","137","4","-2","-111","-2","65","-2","0","0","0","0","0","0","7424","38","29","20","25","18","10"
"1.050","2.5770","13","0.0000","0.0000","-22.3694","-32.2387","0.0000","120.1840","0.2000","0.2500","10000.0000","43.36444216","-71.46103073","159.6","0.7","0","0.17","0.06","-1.13","-0.6","0.9","0.3","0","0","0","0","0","0","0","0","0","0","0","990","21","1016","11","15","15","0","0","0","0","0","0","0","0","18","15","18","18","0","0","0","0","-1000","-1000","29","0","43","-1","-0","-48","-0","0","0","0","2","0","-0","1","0","29","-0","0","0","-0","-1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","164","-4","-328","7","-8","0","-7","0","509","82","2","137","4","-2","-111","-2","65","-2","0","0","0","0","0","0","7424","38","29","20","25","18","10"
"1.100","2.5770","13","0.0000","0.0000","-22.3694","-32.2387","0.0000","120.1840","0.2000","0.2500","10000.0000","43.36444216","-71.46103073","159.6","0.7","0","0.17","0.06","-1.13","-0.6","0.9","0.3","0","0","0","0","0","0","0","0","0","0","0","990","21","1016","11","15","15","0","0","0","0","0","0","0","0","18","15","18","18","0","0","0","0","-1000","-1000","29","0","43","-1","-0","-48","-0","0","0","0","2","0","-0","1","0","29","-0","0","0","-0","-1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","164","-4","-328","7","-8","0","-7","0","509","82","2","137","4","-2","-111","-2","65","-2","0","0","0","0","0","0","7424","38","29","20","25","18","10"
"1.150","2.5770","13","0.0000","0.0000","-22.3694","-32.2387","0.0000","120.1840","0.2000","0.2500","10000.0000","43.36444216","-71.46103073","159.6","0.7","0","0.17","0.06","-1.13","-0.6","0.9","0.3","0","0","0","0","0","0","0","0","0","0","0","990","21","1016","11","15","15","0","0","0","0","0","0","0","0","18","15","18","18","0","0","0","0","-1000","-1000","29","0","43","-1","-0","-48","-0","0","0","0","2","0","-0","1","0","29","-0","0","0","-0","-1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","164","-4","-328","7","-8","0","-7","0","509","82","2","137","4","-2","-111","-2","65","-2","0","0","0","0","0","0","7424","38","29","20","25","18","10"
"1.200","2.5770","13","0.0000","0.0000","-22.3694","-32.2387","0.0000","120.1840","0.2000","0.2500","10000.0000","43.36444216","-71.46103073","159.6","0.7","0","0.17","0.06","-1.13","-0.6","0.9","0.3","0","0","0","0","0","0","0","0","0","0","0","990","21","1016","11","15","15","0","0","0","0","0","0","0","0","18","15","18","18","0","0","0","0","-1000","-1000","29","0","43","-1","-0","-48","-0","0","0","0","2","0","-0","1","0","29","-0","0","0","-0","-1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","164","-4","-328","7","-8","0","-7","0","509","82","2","137","4","-2","-111","-2","65","-2","0","0","0","0","0","0","7424","38","29","20","25","18","10"
"1.250","2.5770","13","0.0000","0.0000","-22.3694","-32.2387","0.0000","120.1840","0.2000","0.2500","10000.0000","43.36444216","-71.46103073","159.6","0.7","0","0.17","0.06","-1.13","-0.6","0.9","0.3","0","0","0","0","0","0","0","0","0","0","0","990","21","1016","11","15","15","0","0","0","0","0","0","0","0","18","15","18","18","0","0","0","0","-1000","-1000","29","0","43","-1","-0","-48","-0","0","0","0","2","0","-0","1","0","29","-0","0","0","-0","-1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","164","-4","-328","7","-8","0","-7","0","509","82","2","137","4","-2","-111","-2","65","-2","0","0","0","0","0","0","7424","38","29","20","25","18","10"
"1.300","2.5770","13","0.0000","0.0000","-22.3694","-32.2387","0.0000","120.1840","0.2000","0.2500","10000.0000","43.36444216","-71.46103073","159.6","0.7","0","0.17","0.06","-1.13","-0.6","0.9","0.3","0","0","0","0","0","0","0","0","0","0","0","990","21","1016","11","15","15","0","0","0","0","0","0","0","0","18","15","18","18","0","0","0","0","-1000","-1000","29","0","43","-1","-0","-48","-0","0","0","0","2","0","-0","1","0","29","-0","0","0","-0","-1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","164","-4","-328","7","-8","0","-7","0","509","82","2","137","4","-2","-111","-2","65","-2","0","0","0","0","0","0","7424","38","29","20","25","18","10"
"1.350","2.5770","13","0.0000","0.0000","-22.3694","-32.2387","0.0000","120.1840","0.2000","0.2500","10000.0000","43.36444216","-71.46103073","159.6","0.7","0","0.17","0.06","-1.13","-0.6","0.9","0.3","0","0","0","0","0","0","0","0","0","0","0","990","21","1016","11","15","15","0","0","0","0","0","0","0","0","18","15","18","18","0","0","0","0","-1000","-1000","29","0","43","-1","-0","-48","-0","0","0","0","2","0","-0","1","0","29","-0","0","0","-0","-1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","164","-4","-328","7","-8","0","-7","0","509","82","2","137","4","-2","-111","-2","65","-2","0","0","0","0","0","0","7424","38","29","20","25","18","10"
"1.400","2.5770","13","0.0000","0.0000","-22.3694","-32.2387","0.0000","120.1840","0.2000","0.2500","10000.0000","43.36444216","-71.46103073","159.6","0.7","0","0.17","0.06","-1.13","-0.6","0.9","0.3","0","0","0","0","0","0","0","0","0","0","0","990","21","1016","11","15","15","0","0","0","0","0","0","0","0","18","15","18","18","0","0","0","0","-1000","-1000","29","0","43","-1","-0","-48","-0","0","0","0","2","0","-0","1","0","29","-0","0","0","-0","-1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","164","-4","-328","7","-8","0","-7","0","509","82","2","137","4","-2","-111","-2","65","-2","0","0","0","0","0","0","7424","38","29","20","25","18","10"
"1.450","2.5770","13","0.0000","0.0000","-22.3694","-32.2387","0.0000","120.1840","0.2000","0.2500","10000.0000","43.36444216","-71.46103073","159.6","0.7","0","0.17","0.06","-1.13","-0.6","0.9","0.3","0","0","0","0","0","0","0","0","0","0","0","990","21","1016","11","15","15","0","0","0","0","0","0","0","0","18","15","18","18","0","0","0","0","-1000","-1000","29","0","43","-1","-0","-48","-0","0","0","0","2","0","-0","1","0","29","-0","0","0","-0","-1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","164","-4","-328","7","-8","0","-7","0","509","82","2","137","4","-2","-111","-2","65","-2","0","0","0","0","0","0","7424","38","29","20","25","18","10"
"1.500","2.5770","13","0.0000","0.0000","-22.3694","-32.2387","0.0000","120.1840","0.2000","0.2500","10000.0000","43.36444216","-71.46103073","159.6","0.7","0","0.17","0.06","-1.13","-0.6","0.9","0.3","0","0","0","0","0","0","0","0","0","0","0","990","21","1016","11","15","15","0","0","0","0","0","0","0","0","18","15","18","18","0","0","0","0","-1000","-1000","29","0","43","-1","-0","-48","-0","0","0","0","2","0","-0","1","0","29","-0","0","0","-0","-1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","164","-4","-328","7","-8","0","-7","0","509","82","2","137","4","-2","-111","-2","65","-2","0","0","0","0","0","0","7424","38","29","20","25","18","10"
"1.550","2.5770","13","0.0000","0.0000","-22.3694","-32.2387","0.0000","120.1840","0.2000","0.2500","10000.0000","43.36444216","-71.46103073","159.6","0.7","0","0.17","0.06","-1.13","-0.6","0.9","0.3","0","0","0","0","0","0","0","0","0","0","0","990","21","1016","11","15","15","0","0","0","0","0","0","0","0","18","15","18","18","0","0","0","0","-1000","-1000","29","0","43","-1","-0","-48","-0","0","0","0","2","0","-0","1","0","29","-0","0","0","-0","-1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","164","-4","-328","7","-8","0","-7","0","509","82","2","137","4","-2","-111","-2","65","-2","0","0","0","0","0","0","7424","38","29","20","25","18","10"
"1.600","2.5770","13","0.0000","0.0000","-22.3694","-32.2387","0.0000","120.1840","0.2000","0.2500","10000.0000","43.36444216","-71.46103073","159.6","0.7","0","0.17","0.06","-1.13","-0.6","0.9","0.3","0","0","0","0","0","0","0","0","0","0","0","990","21","1016","11","15","15","0","0","0","0","0","0","0","0","18","15","18","18","0","0","0","0","-1000","-1000","29","0","43","-1","-0","-48","-0","0","0","0","2","0","-0","1","0","29","-0","0","0","-0","-1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","164","-4","-328","7","-8","0","-7","0","509","82","2","137","4","-2","-111","-2","65","-2","0","0","0","0","0","0","7424","38","29","20","25","18","10"
"1.650","2.5770","13","0.0000","0.0000","-22.3694","-32.2387","0.0000","120.1840","0.2000","0.2500","10000.0000","43.36444216","-71.46103073","159.6","0.7","0","0.17","0.06","-1.13","-0.6","0.9","0.3","0","0","0","0","0","0","0","0","0","0","0","990","21","1016","11","15","15","0","0","0","0","0","0","0","0","18","15","18","18","0","0","0","0","-1000","-1000","29","0","43","-1","-0","-48","-0","0","0","0","2","0","-0","1","0","29","-0","0","0","-0","-1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","164","-4","-328","7","-8","0","-7","0","509","82","2","137","4","-2","-111","-2","65","-2","0","0","0","0","0","0","7424","38","29","20","25","18","10"
